date,year_month,geo,hicp_yoy
2018-10-01,2018-10,Poland,1.4
2018-11-01,2018-11,Poland,1.0
2018-12-01,2018-12,Poland,0.9
2019-01-01,2019-01,Poland,0.6
2019-02-01,2019-02,Poland,1.3
2019-03-01,2019-03,Poland,1.7
2019-04-01,2019-04,Poland,2.1
2019-05-01,2019-05,Poland,2.2
2019-06-01,2019-06,Poland,2.4
2019-07-01,2019-07,Poland,2.6
2019-08-01,2019-08,Poland,2.6
2019-09-01,2019-09,Poland,2.4
2019-10-01,2019-10,Poland,2.4
2019-11-01,2019-11,Poland,2.5
2019-12-01,2019-12,Poland,3.0
2020-01-01,2020-01,Poland,3.7
2020-02-01,2020-02,Poland,4.0
2020-03-01,2020-03,Poland,3.8
2020-04-01,2020-04,Poland,2.9
2020-05-01,2020-05,Poland,3.5
2020-06-01,2020-06,Poland,3.8
2020-07-01,2020-07,Poland,3.6
2020-08-01,2020-08,Poland,3.7
2020-09-01,2020-09,Poland,3.8
2020-10-01,2020-10,Poland,3.8
2020-11-01,2020-11,Poland,3.7
2020-12-01,2020-12,Poland,3.4
2021-01-01,2021-01,Poland,3.7
2021-02-01,2021-02,Poland,3.7
2021-03-01,2021-03,Poland,4.3
2021-04-01,2021-04,Poland,5.1
2021-05-01,2021-05,Poland,4.6
2021-06-01,2021-06,Poland,4.2
2021-07-01,2021-07,Poland,4.7
2021-08-01,2021-08,Poland,5.1
2021-09-01,2021-09,Poland,5.6
2021-10-01,2021-10,Poland,6.4
2021-11-01,2021-11,Poland,7.4
2021-12-01,2021-12,Poland,8.0
2022-01-01,2022-01,Poland,8.7
2022-02-01,2022-02,Poland,8.0
2022-03-01,2022-03,Poland,10.3
2022-04-01,2022-04,Poland,11.4
2022-05-01,2022-05,Poland,12.8
2022-06-01,2022-06,Poland,14.2
2022-07-01,2022-07,Poland,14.2
2022-08-01,2022-08,Poland,14.7
2022-09-01,2022-09,Poland,15.7
2022-10-01,2022-10,Poland,16.4
2022-11-01,2022-11,Poland,16.1
2022-12-01,2022-12,Poland,15.4
2023-01-01,2023-01,Poland,15.8
2023-02-01,2023-02,Poland,17.2
2023-03-01,2023-03,Poland,15.2
2023-04-01,2023-04,Poland,14.0
2023-05-01,2023-05,Poland,12.4
2023-06-01,2023-06,Poland,11.0
2023-07-01,2023-07,Poland,10.3
2023-08-01,2023-08,Poland,9.5
2023-09-01,2023-09,Poland,7.7
